Root	Durative Theme Vowel	Preterite Theme Vowel	Glosses
ksp	a	u	break into bits
kṣp	i	i	reckon, think; calculate; estimate
kšp	i	i	cast spell, bewitch, enchant
kšr	a	u	restore, have success
kṣr	a	u	knot, fasten, join (together); organize
ksr	i	i	block; pave with bitumen or stone
kss	a	u	chew, gnaw; encroach
kṣṣ	a	u	cut short, trim, clip
kšš	a	u	gain control; (D) make acquisition
kṣṭ	i	i	cut down, cut off, chop
kšṭ	i	i	chop down
ktm	a	u	clothe, cover
kṭp	a	u	pluck; pick off (fruit); enjoy sexual charms
ktr	i	i	wait, hesitate
ktt	u	u	quiver, ripple, vibrate
kzb	i	i	tell lies
kzr	i	i	give a treatment on hair; curl; coiffure; dress
kzz	a	u	shear (sheep and goats)
lbb	a	u	rage; be(come) furious; (Š) cause fever
lbk	i	i	be(come) soft
lbn	i	i	stroke (the nose)
lbr	i	i	become old, long lasting
lbš	a	a	clothe (oneself), wear
lbt	a	u	touch, grasp, afflict; write down; smear
lhb	i	i	rumble; growl (of stomach)
lhm	i	i	consume food or drink
lhš	u	u	whisper, murmur; intimate
lkd	i	i	run
lmd	a	a	learn, know, find out
lmm	a	u	chew, munch
lmn	i	i	be(come) bad, evil
lpn	i	i	be poor; (D) impoverish
lpp	a	u	wrap; (D) compile
lpt	a	u	touch, strike, affect, afflict; write down; smear
lqt	a	u	gather up; glean; collect; (N) be taken away by force
lsm	u	u	run, race, gallop
ltk	a	u	test (food, drink); question hypothesis or opininon
lzn	i	i	I banter, deride, flout; ridicule
lzz	a	a	continue, go on; endure
mdd	a	u	measure, survey; (D ~ G)
mdl	i	i	preserve (food) in salt
mdr	i	i	(condition of eyes)
mgd	a	u	pick fruit
mgg	a	u	be(come) rigid, protrude; spread; have cramps; have an erection
mgr	a	u	be in agreement, reach an agreement
mhh	a	u	dissolve in liquid; soak
mhr	a	u	receive, face, oppose, confront; accept; welcome
mhṣ	a	a	beat, punch, flick, hit; knock
mkk	a	u	extend; expand
mkr	a	u	irrigate
mks	i	i	levy customs; collect taxes
mlh	a	u	tear out; (D) reduce
mlk	i	i	plan, take counsel; propose
mll	a	u	pillage; consume; loot; eat clean
mls	a	u	pluck out
mlš	a	u	pluck out
mqq	a	u	protrude; spread; have cramps; have an erection
mqr	i	i	become rare, scarce, expensive
mqt	u	u	fall off; desert
mrq	a	u	grind; rub; pulverize
mrr	i	i	be(come) bitter, sour
mrṣ	a	a	become ill, become sick, become
mrs	a	u	mash; mix; bruise
mrṭ	a	u	scratch, scrape; rub
mšd	a	u	beat cloth, wool; strike with disease
mšh	a	u	shine; glow, flare up
mšl	a	a	be(come) equal; copy
mṣr	a	u	circle, enclose; (D)
mšr	a	u	drag across (garments); delay
msr	a	u	I obstruct; II stride about; limit
mšš	a	u	wipe off; clean
mth	a	u	lift; pick up; fetch
mtq	i	i	be(come) sweet; (D) sweeten
mtr	i	i	be excessive; (D) enlarge
mzq	a	u	suck; (D) suck out
mzr	a	u	I obstruct; II stride about; limit
nbb	u	u	pipe, play the flute
nbh	u	u	bark (of dog, demon), yelp; (D ~ G)
nbk	a	u	bring in
nbl	a	u	destroy
nbq	a	u	bring in
nbṭ	u	u	shine; (Š) make
nbz	u	u	bleat
ndd	i	i	cede, give way(?)
ndn	i	i	give; (Št) intermingle
ndr	a	a	roar; growl; be furious, wild
ngg	u	u	bray; neigh; whinny; bellow
ngš	i	i	go; (Gtn) wander
nhl	a	u	sieve, sift
nhr	u	u	hoot, snore, snort
nhs	i	i	snivel, sniffle, sob
nhš	i	i	prosper, thrive; be(come) luxuriant; (D) grant health
nkd	u	u	beat (of the heart), become disturbed; palpitate
nkl	i	i	be artful, clever; be dexterous
nkm	a	u	stock, heap up, pile
nkp	i	i	push, thrust; butt; (D) knock down
nkr	i	i	be(come) different, strange; become hostile
nkš	i	i	set aside
nks	i	i	cut off, fell; mutilate; qaqqadu ~ decapitate
nkt	a	u	nettle
nlš	u	u	(fall as) dew; (D) bedew
nmr	i	i	shine, be bright; (D) illuminate; (ŠD) gladden
nmš	u	u	be agile; move, move on; start out
nph	a	u	blow, hiss, puff; ignite
npk	a	u	bring in
npl	a	u	I raze; dig out; demolish; II pay balance
npq	a	u	bring in
npṣ	a	u	push away, push down
npš	a	u	comb, card, pluck
nqb	a	u	deflower; penetrate sexually
nqh	a	a	caw; croak; peck
nqp	a	a	cleave (to), haunt
nqr	a	u	destroy; scratch; dismantle; demolish
nrb	a	u	dissolve (intrans.); soften
nrṭ	u	u	quake, shake, tremble
nṣb	a	u	suck (liquids), lick
nšb	u	u	blow away, clear off
nsh	a	u	tear out, uproot, transfer, deduct
nšk	a	u	bite; (D) bite up
nsk	u	u	lay down, throw down, toss
nsq	a	u	choose, select, elect
nšq	i	i	kiss (D ~ G)
nsr	a	u	saw
nṣr	a	u	guard, preserve, keep, watch (over)
nšr	a	u	take away, remove, withdraw
nss	a	a	moan, wail; (D ~ G)
nšš	i	i	I sniff; II shake; (D) separate
ntk	u	u	drip, drop, trickle
nṭl	a	u	look at, glance at, see
ntp	i	i	tear out (wool)
nṭp	i	i	tear out (wool)
nwr	i	i	shine, be bright; (D) illuminate; (ŠD) gladden
nzl	a	u	pour out, drain
nzm	u	u	creak, grouch, grouse
nzq	i	i	worry, despair, creak; (Š) upset, annoy
nzr	a	u	curse, cuss, damn
nzz	i	i	shake; (D) separate
phh	a	a	abate, be weakened
phr	u	u	gather, assemble, congregate
phṣ	u	u	(meaning unclear); (Ntn) be constantly disappointed
phz	i	i	be insolent, be loose
pkr	i	i	I tie up, tether; II present
plh	a	a	fear, be afraid of, respect, revere
plk	a	u	divide off, demarcate
pll	i	i	guard, watch over
plq	a	u	slaughter, smite, strike down (animal, people)
pls	a	u	look at, gaze at; (D) direct vision
plš	a	u	pierce, perforate, puncture
png	i	i	cap, wrap; decorate (D) complete(?)
pnk	i	i	cap, wrap; decorate (D) complete(?)
pqd	i	i	entrust, turn over (to), take care
pqr	a	u	claim, allege, contest, arrogate
prd	i	i	I be scared, terrified; terrify (in D), II separate, cut off
prh	i	i	flee; fly, float
prk	i	i	lie across, bar, forbid access; (D) bring to an end
prm	a	u	hack, rend, shred
prq	a	a	divide off, isolate, segregate
prr	u	u	be dissolved, broken up; (D) disperse, scatter; be powerless
prš	a	u	flatter, cajole, hype
prṣ	a	u	contravene an oath, breach, to tell lies
prs	a	u	cut, separate, divide, decide
prṭ	a	u	tear, clear away; flicker
pṣd	i	i	cut into; (Dtt) crack
pšh	a	a	be tranquil, calm; (Š) allow to rest
pšl	i	i	creep, crawl, cringe
psl	i	i	turn back, turn around
psm	i	i	cover up; (D) veil, disguise (woman)
psn	i	i	cover up; (D) veil, disguise (woman)
pšn	i	i	yank, pull violently (ears)
pšq	a	u	make plain
pšr	a	u	solve, explain, interpret; release, free
pss	a	u	annihilate, annul, blot, destroy; (Dt) become collapsed
pšš	a	u	smear, anoint, grease
pšṭ	i	i	abrade, delete, efface
pth	a	u	pierce, puncture, bore
ptl	i	i	twine, twist, wind
ptn	a	u	dine; eat a meal
ptq	i	i	fashion, form, cast
pṭr	a	u	loosen, untie, solve, redeem
qbr	i	i	bury, dig
qbt	a	u	clear away; (Gt) decay
qdd	a	u	cut off; tear, rip up
qdp	i	i	(meaning unknown)
qll	i	i	be small, be light; (D) reduce; (Dt) humiliate
qlp	a	u	peel, peel off, pare off
qmr	a	u	strap(?)
qnn	a	u	roll up
qpl	i	i	roll up, wind up
qpp	u	u	brood, incubate, sit
qrb	a	a	approach, arrive, come; (Š) present a request; (Št) follow closely
qrd	i	i	be warlike, be courageous; (D) strengthen, encourage
qrh	u	u	be frozen, freeze (intr.)
qrn	a	u	stack up, pile on; (Št) heap up goods
qrr	u	u	writhe, grovel, undulate, be wavy; drip (D)
qrš	a	u	I carve, trim; chop up (wood, meat); (D) knock down; II move towards
qtl	a	u	kill
qtn	i	i	be thin, be fine; (D) make thin
qtp	a	u	pluck; pick off (fruit); enjoy sexual charms
qṭp	a	u	pluck; pick off (fruit); enjoy sexual charms
qtr	u	u	smoke, reek; steam; (Dt) blacken, darken
rbb	i	i	be weak, submissive, soft, feeble; (D) make submit; make obedient
rbk	a	u	decoct, boil away (wine; drugs)
rbq	i	i	(meaning unknown); of cattle?
rbs	a	u	beat
rbš	a	u	protest, raise objections
rbṣ	i	i	lie down, lie in wait (for); camp; (Gtn) ~ regularly
rdd	a	u	chase, drive away, pursue (people, army)
rdp	i	i	pursue, persecute
rgg	a	a	(meaning unknown)
rgm	a	u	cry (out), shout, claim, make a legal complaint; (Gt) ~ against each other
rgš	i	i	be aware, be in commotion; (N) be excited or disturbed
rhb	u	u	quake, tremble; shake (in anger)
rhh	a	u	mix
rhṣ	a	a	be in motion
rhš	u	u	be in motion
rht	u	u	(meaning unknown) ~ of stone
rhṭ	u	u	(meaning unknown) ~ of stone
rkb	a	a	ride, mount, surmount; ride (sexually); (D) fertilize; (Š) load cargo
rkp	a	a	ride, mount, surmount; ride (sexually); (D) fertilize; (Š) load cargo
rks	a	u	bind, tie; prepare; (N) be attached
rkš	a	u	bind, tie; prepare; (N) be attached
